categorie,question,reponse,note,sources
Comprendre les bases (grand public),Qu’est-ce qu’une fake news ?,"Une fake news est une fausse information ou un faux article délibérément produit et diffusé dans le but de tromper le lecteur. Elle prend souvent l'apparence d'un vrai article de presse et peut impliquer le détournement d'une déclaration, d'une photo, d'une vidéo ou d'un chiffre. Ce qui la distingue d'une simple erreur, c'est la **volonté intentionnelle de mentir**.",9,https://www.clemi.fr/ressources/les-series-de-ressources/ateliers-decliccritique/fiche-info-les-sites-satiriques-du-rire-aux-fake-news | https://drane.ac-lyon.fr/spip/IMG/scenari/EMI_Enseignements/co/fakenews.html | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/ | https://www.bitdefender.com/fr-fr/blog/hotforsecurity/la-courtoisie-sur-les-reseaux-sociaux | https://lucide.ai/desinformation-detection-ia/
Comprendre les bases (grand public),Qu’est-ce que la désinformation ?,"La désinformation est la diffusion **délibérée** d'informations fausses, incorrectes ou trompeuses dans l'intention de nuire. Son auteur peut chercher à influencer les opinions, à gagner de l'argent ou à nuire à la société, à la santé publique ou à la démocratie. Elle se distingue de la mésinformation par la présence d'une intention malveillante de la part de celui qui la diffuse.",9,https://centredecrise.be/fr/risques-en-belgique/risques-man-made/desinformation/quest-ce-que-la-mesinformation-et-la | https://drane.ac-lyon.fr/spip/IMG/scenari/EMI_Enseignements/co/fakenews.html | https://www.who.int/fr/news-room/questions-and-answers/item/disinformation-and-public-health
Comprendre les bases (grand public),Quelle est la différence entre désinformation et mésinformation ?,"La principale différence réside dans l'**intention** de l'émetteur. La **désinformation** est diffusée délibérément, en toute connaissance de cause, avec l'intention de tromper et de nuire. La **mésinformation**, quant à elle, est diffusée sans intention malveillante : la personne qui la partage ignore que l'information est fausse ou incorrecte. Dans les deux cas, les effets peuvent néanmoins être néfastes.",10,https://centredecrise.be/fr/risques-en-belgique/risques-man-made/desinformation/quest-ce-que-la-mesinformation-et-la | https://www.who.int/fr/news-room/questions-and-answers/item/disinformation-and-public-health
Comprendre les bases (grand public),Qu’est-ce qu’un deepfake ?,"Un deepfake est un contenu synthétique (image, vidéo ou audio) généré ou modifié par intelligence artificielle, plus précisément par des techniques de **deep learning**, pour faire paraître une personne réelle en train de dire ou faire quelque chose qu'elle n'a jamais dit ou fait. Le terme est une contraction de « deep learning » et « fake ». Cette technologie peut être utilisée pour superposer des visages et des voix sur des vidéos existantes, créant ainsi du contenu qui semble véridique mais qui est en réalité faux.",9,https://mag.bouyguestelecom.fr/cybersecurite/arnaques/deepfakes-danger-detecter/ | https://www.womenslaw.org/about-abuse/abuse-using-technology/ways-survivors-use-and-abusers-misuse-technology/abuse-24 | https://www.lebigdata.fr/deepfake-tout-savoir | https://tech-culture-mag.fr/blog/realite-des-deepfakes-xdohb | https://truescreen.io/articles/deepfake-complete-guide/
Comprendre les bases (grand public),Qu’est-ce que le voice cloning ?,"Le voice cloning (ou clonage vocal) est une technologie basée sur des modèles d'intelligence artificielle qui apprend les caractéristiques uniques de la voix d'une personne (timbre, intonations, accent, pauses) à partir d'un court extrait audio, afin de la reproduire fidèlement. Une fois la voix clonée, le modèle peut faire prononcer n'importe quel texte dans la voix de la personne ciblée. Des outils comme ElevenLabs sont capables de générer un clone vocal à partir de seulement trois secondes d'audio. Cette technologie est notamment utilisée dans des arnaques comme les escroqueries au faux proche en détresse, les fraudes au faux PDG ou encore les robocalls politiques.",9,https://truescreen.io/articles/deepfake-complete-guide/ | https://blog.economie-numerique.net/2024/11/22/larnaque-au-clonage-vocal-quand-lintelligence-artificielle-prend-la-voix-de-vos-proches/ | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/ | https://www.lorientlejour.com/article/1345050/la-voix-clonee-par-lia-de-nouvelles-arnaques-en-vue.html
Comprendre les bases (grand public),Qu’est-ce qu’une IA générative ?,"L'intelligence artificielle générative correspond au développement de réseaux de neurones profonds capables de générer du texte, du code, des images, du son, des vidéos ou encore des séquences de molécules. Les premières expérimentations remontent au milieu des années 1950, mais c'est l'émergence des réseaux de neurones antagonistes génératifs (2014) et des autoencodeurs variationnels (2013) qui a donné naissance aux systèmes modernes. Le grand public a découvert ce terme principalement grâce à la popularité de ChatGPT.",10,https://www.lemagit.fr/conseil/Petit-lexique-de-lIA-generative-les-grands-modeles-de-langage | https://www.elastic.co/fr/what-is/large-language-models | https://www.lorientlejour.com/article/1345050/la-voix-clonee-par-lia-de-nouvelles-arnaques-en-vue.html | https://www.systeme-de-design.gouv.fr/version-courante/fr/a-propos/articles-et-actualites/presence-de-l-ia-dans-les-contenus
Comprendre les bases (grand public),Comment l’IA peut-elle créer des images ou des vidéos réalistes ?,"L'IA crée des images et vidéos réalistes grâce à des réseaux de neurones artificiels, qui permettent de générer des visuels synthétiques en quelques secondes avec des modèles comme FLUX.2, Ideogram v3 ou ChatGPT Images 2.0. Pour les vidéos, l'IA peut superposer un visage synthétisé sur une vidéo source en faisant correspondre les expressions et mouvements de tête, puis synchroniser une voix clonée avec la vidéo. Ces techniques incluent notamment les « faceswaps », qui consistent à greffer numériquement le visage d'une personne sur une autre, de manière presque imperceptible.",8,https://digitiz.fr/verifier-image-ia/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/ | https://www.technologyreview.com/2025/09/04/1123054/synthesias-ai-clones-are-more-expressive-than-ever-soon-theyll-be-able-to-talk-back/ | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive
Comprendre les bases (grand public),Est-ce que l’IA peut vraiment “inventer” des informations ?,"Oui, les grands modèles de langage (LLM) peuvent générer des contenus de toutes pièces. Comme le soulignent les documents, l'IA générative est capable de produire du texte, des images, des vidéos et même des clones de voix convaincants. Ces capacités sont activement exploitées pour **industrialiser la désinformation** : création massive de faux contenus, automatisation de faux comptes, génération de fake news à grande échelle. Les deepfakes illustrent particulièrement bien ce phénomène, au point que ""voir et entendre ne suffit plus à croire"", selon l'UNESCO.",7,https://www.lemagit.fr/conseil/Petit-lexique-de-lIA-generative-les-grands-modeles-de-langage | https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://www.unesco.org/en/articles/deepfakes-and-crisis-knowing | https://3wacademy.fr/ecole/actualites/des-ia-pour-lutter-contre-la-desinformation | https://www.strategies.fr/actualites/tribunes/LQ5118480C/fake-news-la-chaine-lia-passe-loffensive-ludovic-desgranges-newscore.html
Comprendre les bases (grand public),Pourquoi les fake news générées par l’IA sont-elles plus dangereuses qu’avant ?,"Les fake news générées par l'IA sont plus dangereuses car elles ont été **industrialisées** : l'IA permet d'automatiser entièrement la création de faux comptes, leur alimentation en contenus et leurs interactions entre eux, rendant la propagation des intox plus rapide et plus massive que jamais. De plus, des technologies comme les **deepfakes** poussent la manipulation encore plus loin en brouillant nos repères sensoriels, au point que « voir ne sera plus forcément croire ». Enfin, les algorithmes des réseaux sociaux sont exploités par les commanditaires de ces campagnes pour amplifier encore davantage la diffusion de ces contenus trompeurs.",9,https://www.strategies.fr/actualites/tribunes/LQ5118480C/fake-news-la-chaine-lia-passe-loffensive-ludovic-desgranges-newscore.html | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive | https://www.bitdefender.com/fr-fr/blog/hotforsecurity/la-courtoisie-sur-les-reseaux-sociaux | https://lucide.ai/desinformation-detection-ia/
Comprendre les bases (grand public),Est-ce que tout le monde peut créer des fake news avec l’IA ?,"Les documents fournis n'abordent pas directement la question de l'accessibilité de la création de fake news avec l'IA pour le grand public. Ils mentionnent surtout que l'IA permet une **industrialisation** de la désinformation, notamment via l'automatisation de faux comptes et la génération massive de contenus, mais sans préciser si ces outils sont à la portée de tout le monde ou réservés à des acteurs spécialisés.",5,https://www.strategies.fr/actualites/tribunes/LQ5118480C/fake-news-la-chaine-lia-passe-loffensive-ludovic-desgranges-newscore.html | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/
